policy,step,total_bits,exported_bits,retained_bits,contraction_bits,sorted_bits,destroyed_bits,step_efficiency,cumulative_efficiency,capacity_bits,record_entropy_bits,sector_exported_bits,protected_leakage_bits,bandwidth_slack_bits
centralizing_sorter,20,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000025,1.584963,1.584963,0.000000
centralizing_sorter,21,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000010,1.584963,1.584963,0.000000
centralizing_sorter,22,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000004,1.584963,1.584963,0.000000
centralizing_sorter,23,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000002,1.584963,1.584963,0.000000
centralizing_sorter,24,3.169925,3.169925,0.000000,0.000000,0.000000,0.000000,,1.000000,3.321928,0.000001,1.584963,1.584963,0.000000
late_completion,0,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,
late_completion,1,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,2,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,3,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,4,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,5,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,6,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,7,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,8,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,9,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,10,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.881291,0.000000,0.000000,0.000000
late_completion,11,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.000000,0.000000,0.000000,0.000000
late_completion,12,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.000000,0.000000,0.000000,0.000000
late_completion,13,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.000000,0.000000,0.000000,0.000000
late_completion,14,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,1.000000,0.000000,0.000000,0.000000,0.000000
late_completion,15,1.664211,1.584963,0.079248,3.090677,1.584963,1.505714,0.512821,0.512821,2.000000,1.584963,1.584963,0.000000,0.415037
late_completion,16,1.588925,1.584963,0.003962,0.075286,0.000000,0.075286,0.000000,0.500626,2.000000,0.286397,1.584963,0.000000,0.075286
late_completion,17,1.585161,1.584963,0.000198,0.003764,0.000000,0.003764,0.000000,0.500031,2.000000,0.014320,1.584963,0.000000,0.003764
late_completion,18,1.584972,1.584963,0.000010,0.000188,0.000000,0.000188,0.000000,0.500002,2.000000,0.000716,1.584963,0.000000,0.000188
late_completion,19,1.584972,1.584972,0.000000,0.000010,0.000010,0.000000,1.000000,0.500003,2.000000,0.000046,1.584963,0.000010,0.000000
late_completion,20,1.584972,1.584972,0.000000,0.000000,0.000000,0.000000,,0.500003,2.000000,0.000002,1.584963,0.000010,0.000000
