access_probability,capture_probability,useless_noise,context_correlation,needed_access_mi_bits,protected_leakage_cmi_bits,protected_remainder_bits,record_innovation_bits,structured_fraction,needed_access_norm,protected_leakage_norm,protected_remainder_norm,record_burden,self_limiting_score,regime
0.13,0.01,0.08,0.35,0.1307852957339788,0.009097361225311684,0.9006387613058545,0.8581139778831909,0.15241016823499604,0.1307852957339788,0.010000000000000024,0.99,0.018240579525499512,0.0193737250980818,transition
0.14,0.01,0.08,0.35,0.140776269346232,0.009097361225311573,0.9006387613058546,0.8949055781103108,0.1573085169985153,0.140776269346232,0.009999999999999903,0.9900000000000001,0.01982230256683859,0.021489271848308514,transition
0.15,0.01,0.08,0.35,0.1507672429584851,0.009097361225311573,0.9006387613058546,0.9304980447961083,0.16202854353285756,0.1507672429584851,0.009999999999999903,0.9900000000000001,0.021413079055356277,0.023666450261625213,transition
0.16,0.01,0.08,0.35,0.1607582165707382,0.009097361225311684,0.9006387613058545,0.9649582683325271,0.16659602994908013,0.1607582165707382,0.010000000000000024,0.99,0.023009754857851172,0.025903786348100238,transition
0.17,0.01,0.08,0.35,0.17074919018299117,0.009097361225311462,0.9006387613058546,0.9983444660484335,0.17103234002872458,0.17074919018299117,0.009999999999999782,0.9900000000000002,0.024609418530125327,0.02820009962310863,transition
0.18,0.01,0.08,0.35,0.18074016379524438,0.009097361225311573,0.9006387613058544,1.030707706644747,0.1753554015654022,0.18074016379524438,0.009999999999999905,0.9900000000000001,0.026209371981273488,0.03055445944760343,transition
0.19,0.01,0.08,0.35,0.19073113740749725,0.009097361225311906,0.9006387613058546,1.0620930944126175,0.17958043264840137,0.1907311374074973,0.010000000000000266,0.9899999999999998,0.027807105938597476,0.03296615142809836,transition
0.2,0.01,0.08,0.35,0.20072211101975046,0.009097361225311795,0.9006387613058546,1.0925407030283358,0.18372048790803228,0.2007221110197505,0.010000000000000144,0.9899999999999999,0.029400279225390236,0.03543465123686846,transition
0.21,0.01,0.08,0.35,0.21071308463200344,0.009097361225311573,0.9006387613058549,1.1220863216845,0.1877868757152983,0.21071308463200347,0.0099999999999999,0.9900000000000001,0.030986701102173053,0.03795960401104196,transition
0.22,0.01,0.08,0.35,0.22070405824425687,0.009097361225311351,0.9006387613058546,1.1507620583274452,0.19178948128080908,0.22070405824425687,0.00999999999999966,0.9900000000000003,0.032564316095294976,0.04054080802059476,transition
0.23,0.01,0.08,0.35,0.23069503185650975,0.009097361225311684,0.9006387613058546,1.1785968325242704,0.19573702006513677,0.23069503185650975,0.010000000000000023,0.99,0.03413119086464933,0.04317820165693624,transition
0.24,0.01,0.08,0.35,0.24068600546876306,0.009097361225311573,0.9006387613058546,1.205616781974508,0.1996372388534421,0.24068600546876306,0.009999999999999903,0.9900000000000001,0.035685502757827225,0.04587185304499474,transition
0.25,0.01,0.08,0.35,0.25067697908101616,0.009097361225311573,0.9006387613058546,1.2318456006613718,0.20349707702526107,0.25067697908101616,0.009999999999999903,0.9900000000000001,0.03722552977034321,0.048621951759418656,transition
0.26,0.01,0.08,0.35,0.26066795269326937,0.009097361225311795,0.9006387613058544,1.2573048223071104,0.2073227971996105,0.26066795269326937,0.010000000000000146,0.9899999999999999,0.03874964168691564,0.05142880225338163,transition
0.27,0.01,0.08,0.35,0.27065892630552246,0.009097361225311573,0.9006387613058546,1.282014059634921,0.2111200920702835,0.27065892630552246,0.009999999999999903,0.9900000000000001,0.04025629222159999,0.05429281870191851,transition
0.28,0.01,0.08,0.35,0.2806498999177758,0.009097361225311684,0.9006387613058544,1.3059912075991296,0.2148941725524392,0.2806498999177758,0.010000000000000026,0.99,0.041744012008017695,0.057214521031035796,transition
0.29,0.01,0.08,0.35,0.29064087353002854,0.009097361225311573,0.9006387613058546,1.3292526169906562,0.2186498411325464,0.29064087353002854,0.009999999999999903,0.9900000000000001,0.043211402317287484,0.06019453195597535,transition
0.3,0.01,0.08,0.35,0.30063184714228186,0.009097361225311462,0.9006387613058546,1.3518132434941974,0.22239155341103323,0.30063184714228186,0.009999999999999782,0.9900000000000002,0.04465712940222755,0.0632335748917749,transition
0.31,0.01,0.08,0.35,0.31062282075453496,0.009097361225311573,0.9006387613058546,1.3736867762536145,0.22612347015647968,0.31062282075453496,0.009999999999999903,0.9900000000000001,0.046079919383187895,0.06633247263000576,transition
