noise_strength,structure_fraction,structured_syndrome_mi_bits,aligned_logical_env_mi_bits,unaligned_logical_env_mi_bits,unaligned_coherence,aligned_coherence,alignment_gain,aligned_entanglement_fidelity,unaligned_entanglement_fidelity,aligned_coherent_information_bits,unaligned_coherent_information_bits,noise_tailored_score,regime
0.5,0.0,6.205327753771953e-18,0.29048011336093693,0.29048011336093693,0.7788007830714047,0.7788007830714047,0.0,0.8894003915357023,0.8894003915357023,0.49827808662505757,0.49827808662505757,3.4289067702194958e-18,no_syndrome
0.5166666666666666,0.0,6.205327753771953e-18,0.3061598725702702,0.3061598725702702,0.7657156100398491,0.7657156100398491,0.0,0.8828578050199245,0.8828578050199245,0.47890998283071007,0.47890998283071007,3.2967926934470333e-18,no_syndrome
0.5333333333333333,0.0,6.205327753771953e-18,0.32192905351533163,0.32192905351533163,0.752432156089303,0.752432156089303,0.0,0.8762160780446515,0.8762160780446515,0.4598592999810326,0.4598592999810326,3.1659730149959554e-18,no_syndrome
0.55,0.0,6.205327753771953e-18,0.3377624861768148,0.3377624861768147,0.7389684882589441,0.7389684882589441,0.0,0.8694842441294721,0.8694842441294721,0.4411490472084194,0.4411490472084194,3.0367177146470213e-18,no_syndrome
0.5666666666666667,0.0,6.205327753771953e-18,0.35363578528201156,0.35363578528201145,0.7253426528844532,0.7253426528844532,0.0,0.8626713264422265,0.8626713264422265,0.4228001348982524,0.4228001348982524,2.9092781525312927e-18,no_syndrome
0.5833333333333334,0.0,6.205327753771953e-18,0.36952538291150505,0.36952538291150505,0.7115726362417968,0.7115726362417968,0.0,0.8557863181208984,0.8557863181208984,0.4048314310760458,0.4048314310760458,2.783886791369336e-18,no_syndrome
0.6,0.0,6.205327753771953e-18,0.3854085565158145,0.3854085565158145,0.6976763260710309,0.6976763260710309,0.0,0.8488381630355155,0.8488381630355155,0.3872598187453964,0.3872598187453964,2.660757047711192e-18,no_syndrome
0.6166666666666667,0.0,6.205327753771953e-18,0.4012634525833003,0.4012634525833003,0.683671474090896,0.683671474090896,0.0,0.841835737045448,0.841835737045448,0.37010025439856786,0.37010025439856786,2.540083265302894e-18,no_syndrome
0.6333333333333333,0.0,6.205327753771953e-18,0.41706910619147775,0.41706910619147763,0.6695756596090862,0.6695756596090862,0.0,0.834787829804543,0.834787829804543,0.3533658278485168,0.3533658278485168,2.4220408032563907e-18,no_syndrome
0.65,0.0,6.205327753771953e-18,0.4328054566652194,0.4328054566652194,0.6554062543268404,0.6554062543268404,0.0,0.8277031271634202,0.8277031271634202,0.33706782346888686,0.33706782346888686,2.3067862313316218e-18,no_syndrome
0.6666666666666666,0.0,6.205327753771953e-18,0.4484533595571779,0.4484533595571779,0.6411803884299545,0.6411803884299545,0.0,0.8205901942149773,0.8205901942149773,0.32121578287518937,0.32121578287518937,2.1944576243505832e-18,no_syndrome
0.6833333333333333,0.0,6.205327753771953e-18,0.4639945951580977,0.4639945951580977,0.6269149180514919,0.6269149180514919,0.0,0.813457459025746,0.813457459025746,0.3058175690347287,0.3058175690347287,2.0851749475516315e-18,no_syndrome
0.7,0.0,6.205327753771953e-18,0.479411873737314,0.47941187373731387,0.612626394184416,0.612626394184416,0.0,0.806313197092208,0.806313197092208,0.29087943175374376,0.29087943175374376,1.9790405245561363e-18,no_syndrome
0.7166666666666667,0.0,6.205327753771953e-18,0.49468883770644156,0.49468883770644156,0.5983310331151139,0.5983310331151139,0.0,0.799165516557557,0.799165516557557,0.27640607445685095,0.27640607445685095,1.8761395795563773e-18,no_syndrome
0.7333333333333333,0.0,6.205327753771953e-18,0.5098100608917908,0.5098100608917906,0.5840446884413828,0.5840446884413828,0.0,0.7920223442206914,0.7920223442206914,0.2624007221455036,0.2624007221455036,1.7765408453403572e-18,no_syndrome
0.75,0.0,6.205327753771953e-18,0.5247610450933267,0.5247610450933264,0.5697828247309229,0.5697828247309229,0.0,0.7848914123654614,0.7848914123654614,0.24886519039823796,0.24886519039823796,1.6802972288416129e-18,no_syndrome
0.7666666666666666,0.0,6.205327753771953e-18,0.5395282141001573,0.5395282141001573,0.5555604928687954,0.5555604928687954,0.0,0.7777802464343977,0.7777802464343977,0.23579995525550712,0.23579995525550712,1.5874465260348787e-18,no_syndrome
0.7833333333333333,0.0,6.205327753771953e-18,0.5540989053250411,0.5540989053250411,0.5413923071346679,0.5413923071346679,0.0,0.770696153567334,0.770696153567334,0.22320422381551142,0.22320422381551142,1.4980121781849584e-18,no_syndrome
0.8,0.0,6.205327753771953e-18,0.5684613592140371,0.5684613592140371,0.5272924240430484,0.5272924240430484,0.0,0.7636462120215242,0.7636462120215242,0.21107600535428372,0.21107600535428372,1.4120040616890226e-18,no_syndrome
0.8166666666666667,0.0,6.205327753771953e-18,0.5826047065830946,0.5826047065830946,0.5132745229721193,0.5132745229721193,0.0,0.7566372614860597,0.7566372614860597,0.19941218277312367,0.19941218277312367,1.3294193040245937e-18,no_syndrome
0.8333333333333334,0.0,6.205327753771953e-18,0.5965189540319159,0.5965189540319159,0.49935178859927604,0.49935178859927604,0.0,0.749675894299638,0.749675894299638,0.18820858416901576,0.18820858416901576,1.250243118620591e-18,no_syndrome
0.85,0.0,6.205327753771953e-18,0.6101949675871661,0.6101949675871658,0.4855368951540794,0.4855368951540794,0.0,0.7427684475770397,0.7427684475770397,0.17746005431875722,0.17746005431875722,1.1744496518029409e-18,no_syndrome
0.8666666666666667,0.0,6.205327753771953e-18,0.6236244547315988,0.6236244547315988,0.4718419924920744,0.4718419924920744,0.0,0.7359209962460372,0.7359209962460372,0.16716052586490315,0.16716052586490315,1.1020028353279872e-18,no_syndrome
0.8833333333333333,0.0,6.205327753771953e-18,0.6367999449814042,0.6367999449814041,0.4582786939858628,0.4582786939858628,0.0,0.7291393469929314,0.7291393469929314,0.15730308999121723,0.15730308999121723,1.0328572384072352e-18,no_syndrome
0.9,0.0,6.205327753771953e-18,0.6497147691785641,0.649714769178564,0.444858066222941,0.444858066222941,0.0,0.7224290331114704,0.7224290331114704,0.1478800663768587,0.1478800663768587,9.669589135480523e-19,no_syndrome
0.9166666666666666,0.0,6.205327753771953e-18,0.6623630376650896,0.6623630376650896,0.43159062049319474,0.43159062049319474,0.0,0.7157953102465974,0.7157953102465974,0.1388830722219634,0.1388830722219634,9.042462309885871e-19,no_syndrome
0.9333333333333333,0.0,6.205327753771953e-18,0.6747396174986041,0.674739617498604,0.41848630604256437,0.41848630604256437,0.0,0.7092431530212822,0.7092431530212822,0.13030309014238828,0.13030309014238828,8.446506969902921e-19,no_syndrome
0.95,0.0,6.205327753771953e-18,0.6868401088516252,0.6868401088516252,0.40555450506332047,0.40555450506332047,0.0,0.7027772525316602,0.7027772525316602,0.12213053473809987,0.12213053473809987,7.880977517624774e-19,no_syndrome
