leakage,recovery,q_star,eta_star,floor_bound,coherence_floor,passes_99p1_target
0.00075,0.3,0.7000000000000001,0.00075,0.0025000000000000005,0.9975,1
0.00075,0.31,0.69,0.00075,0.002419354838709677,0.9975806451612903,1
0.00075,0.32,0.6799999999999998,0.00075,0.0023437499999999986,0.99765625,1
0.00075,0.33,0.6699999999999999,0.00075,0.002272727272727272,0.9977272727272727,1
0.00075,0.34,0.66,0.00075,0.002205882352941177,0.9977941176470588,1
0.00075,0.35000000000000003,0.6499999999999999,0.00075,0.0021428571428571425,0.9978571428571429,1
0.00075,0.36000000000000004,0.6399999999999999,0.00075,0.002083333333333333,0.9979166666666667,1
0.00075,0.37,0.63,0.00075,0.002027027027027027,0.9979729729729729,1
0.00075,0.38,0.6200000000000001,0.00075,0.0019736842105263163,0.9980263157894737,1
0.00075,0.39,0.61,0.00075,0.001923076923076923,0.9980769230769231,1
0.00075,0.4,0.6000000000000001,0.00075,0.0018750000000000004,0.998125,1
0.00075,0.41000000000000003,0.5900000000000001,0.00075,0.0018292682926829272,0.9981707317073171,1
0.00075,0.42000000000000004,0.58,0.00075,0.0017857142857142857,0.9982142857142857,1
0.00075,0.43,0.5700000000000001,0.00075,0.001744186046511628,0.9982558139534884,1
0.00075,0.44,0.56,0.00075,0.0017045454545454547,0.9982954545454545,1
0.00075,0.45,0.55,0.00075,0.0016666666666666668,0.9983333333333333,1
0.00075,0.46,0.54,0.00075,0.0016304347826086958,0.9983695652173913,1
0.00075,0.47000000000000003,0.53,0.00075,0.001595744680851064,0.9984042553191489,1
