monitor_strength,leakage_fraction,context_correlation,public_error_mi_bits,excess_agency_leakage_bits,raw_agency_mi_bits,record_burden,restraint_score,regime
3.3333333333333335,0.0,0.35,0.9981501205480239,0.0,0.09012050568368174,0.42624657926256726,0.5726920460739096,restraint_interval
3.3666666666666667,0.0,0.35,0.998374651336617,0.0,0.0901430569650003,0.43261785330897384,0.5664599528772745,restraint_interval
3.4,0.0,0.35,0.9985775072662361,0.0,0.09016377499152443,0.4389807161578294,0.5602212379874036,restraint_interval
3.433333333333333,0.0,0.35,0.9987590303537857,0.0,0.09018211770632523,0.44533385617286714,0.5539778199788606,restraint_interval
3.466666666666667,0.0,0.35,0.998919809673448,0.0,0.09019774251851523,0.45167597972114404,0.5477317259763346,restraint_interval
3.5,0.0,0.35,0.999060761311481,0.0,0.09021053971612959,0.4580058115408129,0.5414851265484338,restraint_interval
3.533333333333333,0.0,0.35,0.9991831431621694,0.0,0.09022062144524153,0.4643220950945621,0.5352403327459411,restraint_interval
3.5666666666666664,0.0,0.35,0.9992885112564045,0.0,0.09022827333910484,0.4706235929086534,0.528999761736576,restraint_interval
3.6,0.0,0.35,0.9993786346643123,0.0,0.09023388577059846,0.4769090868974992,0.5227658825416857,restraint_interval
3.6333333333333333,0.0,0.35,0.9994553908588821,0.0,0.09023788430953128,0.4831773786737328,0.5165411550023564,restraint_interval
3.6666666666666665,0.0,0.35,0.9995206621138026,0.0,0.0902406744362546,0.4894272898437365,0.5103279733126271,restraint_interval
3.6999999999999997,0.0,0.35,0.9995762478101821,0.0,0.09024260738223278,0.4956576622886051,0.5041286215413718,restraint_interval
3.7333333333333334,0.0,0.35,0.9996238002702681,0.0,0.0902439663190478,0.5018673584305319,0.49794524420433905,capture_burden
3.7666666666666666,0.0,0.35,0.9996647853330086,0.0,0.09024496754916973,0.5080552614846177,0.4917798314236828,capture_burden
3.8,0.0,0.35,0.9997004645872558,0.0,0.09024577015984163,0.514220275696115,0.48563421607366286,capture_burden
3.8333333333333335,0.0,0.35,0.9997318941248517,0.0,0.0902464886449909,0.5203613265631276,0.47951007949057567,capture_burden
3.8666666666666667,0.0,0.35,0.9997599343593667,0.0,0.09024720486712648,0.5264773610447986,0.47340896243952624,capture_burden
3.9,0.0,0.35,0.9997852661894144,0.0,0.09024797745399378,0.5325673477550341,0.46733227865035715,capture_burden
3.933333333333333,0.0,0.35,0.9998084099887835,0.0,0.09024884792383935,0.5386302771418124,0.4612813290278102,capture_burden
3.966666666666667,0.0,0.35,0.9998297452041658,0.0,0.09024984354568888,0.5446651616521472,0.45525731540791375,capture_burden
4.0,0.0,0.35,0.9998495295388364,0.0,0.09025097739263255,0.5506710358827784,0.4492613533807767,capture_burden
0.0,0.01,0.35,1.0830181345801296e-17,0.0,1.0830181345801296e-17,0.0,1.0830181345801296e-17,abandonment_no_record
0.03333333333333333,0.01,0.35,0.0007851298369480529,7.033137971983543e-08,9.621148518123391e-05,5.555401237422597e-05,0.0007850861646191787,abandonment_no_record
