scenario,tau,theta,shear_sq,det_J,volume,volume_bound_exp,volume_bound_cubic,cells_occupied,entropy_bits,shape_constant_c,in_R_regime,s1,s2,s3,rank_ell,Rprime_bound_cells,c3_meas
isotropic,1.871679,-29929.08159106,0.0014955,3.344741457e-09,1.401042025e-08,1.362613615,1.025917829,1.0,0.0,71375.44642,0,0.0014955038,0.0014955038,0.0014955038,0,1.0455394,0.956444
isotropic,1.871699,-42666.76886421,0.00118076,1.646229014e-09,6.895707969e-09,1.362597311,1.025898209,1.0,0.0,145017.742117,0,0.0011807649,0.0011807649,0.0011807649,0,1.0358429,0.965397
moderate_shear,0.0,-0.6,1.0,1,4.188790205,4.188790205,4.188790205,4546.75,11.963039,1.085457,1,1,1,1,3,1331,3.416041
moderate_shear,0.05,-0.63609622,0.99572741,0.9695765704,4.061352841,4.064992745,4.064378947,4419.75,11.92164,1.088246,1,0.99572741,0.99572741,0.97791517,3,1294.165,3.415136
moderate_shear,0.1,-0.67385347,0.99090239,0.93834528,3.930531517,3.944854053,3.94245583,4293.0,11.880788,1.092219,1,0.99090239,0.99090239,0.95565453,3,1256.3007,3.417176
moderate_shear,0.15,-0.71344898,0.98551343,0.9063662541,3.796578087,3.828265997,3.822995723,4169.25,11.840468,1.09816,1,0.98551343,0.98551343,0.93320839,3,1217.4702,3.424519
moderate_shear,0.2,-0.75508157,0.97954814,0.8737018183,3.659753619,3.715123638,3.705973491,4031.25,11.793802,1.101509,1,0.97954814,0.97954814,0.9105665,3,1177.7386,3.422873
moderate_shear,0.25,-0.79897538,0.97299318,0.8404165405,3.520328573,3.605325141,3.591364002,3893.25,11.744625,1.105934,1,0.97299318,0.97299318,0.88771794,3,1137.1739,3.423619
moderate_shear,0.3,-0.8453842,0.9658341,0.8065772787,3.378583005,3.49877168,3.479142123,3755.5,11.693345,1.111561,1,0.9658341,0.9658341,0.86465114,3,1095.8459,3.427033
moderate_shear,0.35,-0.89459691,0.95805523,0.7722532357,3.234806789,3.39536735,3.369282723,3612.5,11.6382,1.116759,1,0.95805523,0.95805523,0.84135376,3,1053.8275,3.42798
moderate_shear,0.4,-0.94694393,0.94963957,0.7375160208,3.089299884,3.295019079,3.261760667,3457.5,11.578295,1.119186,1,0.94963957,0.94963957,0.81781271,3,1011.1939,3.419225
moderate_shear,0.45,-1.00280533,0.94056855,0.7024397196,2.942372617,3.197636548,3.156550823,3313.0,11.520451,1.125962,1,0.94056855,0.94056855,0.79401399,3,968.02307,3.422439
moderate_shear,0.5,-1.06262075,0.93082187,0.6671009727,2.79434602,3.103132106,3.053628059,3170.75,11.457086,1.134702,1,0.93082187,0.93082187,0.76994271,3,924.39568,3.430079
moderate_shear,0.55,-1.12690185,0.92037727,0.6315790641,2.645552197,3.011420693,2.952967242,3022.0,11.383326,1.142295,1,0.92037727,0.92037727,0.74558292,3,880.39539,3.432549
moderate_shear,0.6,-1.19624798,0.90921022,0.5959560214,2.496334745,2.922419761,2.854543238,2856.25,11.307726,1.144177,1,0.90921022,0.90921022,0.72091755,3,836.10884,3.416122
