sample,alpha,theta0,lambda_star,bound_2_over_alpha,bound_2_over_theta0,bound_satisfied,tight_bound_satisfied
88,2.0,-5.139614,0.387112,1.0,0.389134,1,1
89,2.0,-3.508218,0.565193,1.0,0.57009,1,1
90,2.0,-3.098929,0.633553,1.0,0.645384,1,1
91,2.0,-4.286555,0.462917,1.0,0.466575,1,1
92,2.0,-2.514094,0.775799,1.0,0.795515,1,1
93,2.0,-4.757399,0.418379,1.0,0.420398,1,1
94,2.0,-5.964683,0.333757,1.0,0.335307,1,1
95,2.0,-5.637589,0.353595,1.0,0.354762,1,1
96,2.0,-4.740512,0.417842,1.0,0.421895,1,1
97,2.0,-2.947264,0.662994,1.0,0.678596,1,1
98,2.0,-3.171877,0.620244,1.0,0.630542,1,1
99,2.0,-3.293117,0.600265,1.0,0.607327,1,1
