protocol,window_start,step,round,updated,total_bits,exported_bits,retained_bits,contraction_bits,sorted_bits,destroyed_bits,sector_total_bits,sector_exported_bits,sector_retained_bits,sector_contraction_bits,sector_sorted_bits,sector_destroyed_bits,protected_exported_bits,protected_retained_bits,capacity_bits,record_entropy_bits,branches
uniform_decoder,60,5,65,0.0,2.1639623214536656,1.3753973503291717,0.788564971124494,0.034239460908675357,0.00012332497616251992,0.03411613593251284,1.375417027675235,1.3753973503291728,1.9677346062341172e-05,0.00016626798833052625,0.0001233249761634081,4.2943012167118155e-05,0.0,0.7885452937784315,2.0,0.943265099994711,1024
uniform_decoder,60,6,66,0.0,2.1352888716064804,1.3754103324416023,0.7598785391648781,0.028686431959615843,1.298211243061509e-05,0.02867344984718523,1.37541256081276,1.3754103324416034,2.2283711567094855e-06,1.7448974905631687e-05,1.298211243061509e-05,4.4668624750165975e-06,0.0,0.7598763107937213,2.0,0.9073112365172172,4096
uniform_decoder,60,7,67,0.0,2.1113081732873207,1.3754118424669675,0.7358963308203532,0.023982208344524913,1.5100253651922912e-06,0.02398069831915972,1.3754120924644215,1.375411842466968,2.499974536274152e-07,1.9783737030820703e-06,1.5100253645261574e-06,4.6834833855591285e-07,0.0,0.7358960808229,2.0,0.869252611557044,16384
uniform_decoder,60,8,68,0.0,2.0913731218415688,1.3754120139093908,0.7159611079321779,0.019935222888175286,1.7144242336897264e-07,0.019935051445751917,1.3754120428008063,1.3754120139093913,2.889141503814585e-08,2.2110603858926936e-07,1.7144242336897264e-07,4.966361522029672e-08,0.0,0.7159610790407623,2.0,0.8295954516680999,65536
uniform_decoder,72,0,72,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
uniform_decoder,72,1,73,0.0,2.7339843895503675,1.583639503425438,1.1503448861249295,1.8496551138750705,1.583639503425438,0.2660156104496325,1.7400408464890047,1.5836395034254378,0.1564013430635669,1.843598656936433,1.5836395034254378,0.2599591535109953,0.0,0.9939435430613626,2.0,1.9999999999999996,4
uniform_decoder,72,2,74,0.0,2.6958143618548234,1.6851425149920343,1.010671846862789,0.13967303926214036,0.10150301156659625,0.03817002769554412,1.7111784401723635,1.6851425149920347,0.026035925180328823,0.13036541788323808,0.10150301156659691,0.028862406316641165,0.0,0.9846359216824601,2.0,0.6715809821359611,16
uniform_decoder,72,3,75,0.0,2.685120218193158,1.7056516019408738,0.9794686162522843,0.031203230610504784,0.020509086948839572,0.010694143661665212,1.708472220095601,1.705651601940875,0.0028206181547261178,0.023215307025602705,0.02050908694884024,0.0027062200767624667,0.0,0.9766479980975584,2.0,0.577151833556961,64
uniform_decoder,72,4,76,0.0,2.678338530913648,1.707633724982076,0.9707048059315717,0.008763810320712606,0.001982123041202266,0.00678168727951034,1.7080920709833936,1.707633724982077,0.00045834600131655634,0.0023622721534095614,0.001982123041202044,0.00038014911220751735,0.0,0.970246459930255,2.0,0.5300064759386125,256
uniform_decoder,72,5,77,0.0,2.6731641217511637,1.7079986355835628,0.9651654861676009,0.005539319763970818,0.00036491060148668986,0.005174409162484128,1.7080518793011983,1.7079986355835637,5.324371763459901e-05,0.00040510228368195733,0.00036491060148668986,4.0191682195267475e-05,0.0,0.9651122424499666,2.0,0.5020928182704005,1024
uniform_decoder,72,6,78,0.0,2.668998761539092,1.7080376386504126,0.9609611228886794,0.004204363278921486,3.9003066849785384e-05,0.0041653602120717,1.7080463412703688,1.7080376386504135,8.702619955336388e-06,4.454109767926262e-05,3.9003066849785384e-05,5.538030829477236e-06,0.0,0.960952420268724,2.0,0.47989482935090366,4096
uniform_decoder,72,7,79,0.0,2.6655831693112617,1.708044561513005,0.9575386077982566,0.0034225150904227952,6.922862592517731e-06,0.0034155922278302775,1.708045699326068,1.708044561513006,1.137813061991011e-06,7.564806893345377e-06,6.922862592517731e-06,6.41944300827646e-07,0.0,0.9575374699851945,2.0,0.4632061137797482,16384
uniform_decoder,72,8,80,0.0,2.6627663806679003,1.7080454086507024,0.9547209720171979,0.0028176357810587582,8.471376973240297e-07,0.002816788643361434,1.708045608213498,1.708045408650703,1.9956279495580986e-07,9.382502670352011e-07,8.471376971019851e-07,9.111256993321604e-08,0.0,0.954720772454403,2.0,0.4514854258893822,65536
uniform_decoder,88,0,88,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
uniform_decoder,88,1,89,0.0,2.932959027215822,1.6877354205807005,1.2452236066351214,1.7547763933648786,1.6877354205807005,0.06704097278417809,1.933193534498889,1.6877354205807014,0.24545811391818773,1.7545418860818123,1.6877354205807014,0.06680646550111091,0.0,0.9997654927169336,2.0,2.000000000000001,4
uniform_decoder,88,2,90,0.0,2.9239865668429026,1.850651678527164,1.0733348883157385,0.1718887183193829,0.16291625794646358,0.008972460372919322,1.924617782884568,1.8506516785271647,0.07396610435740336,0.17149200956078436,0.16291625794646336,0.008575751614321003,0.0,0.999368783958335,2.0,0.5559073566371694,16
uniform_decoder,88,3,91,0.0,2.921813887421898,1.9090181775552533,1.0127957098666447,0.060539178449093844,0.058366499028089214,0.0021726794210046307,1.9228414273419268,1.909018177555254,0.01382324978667282,0.06014285457073054,0.058366499028089214,0.001776355542641328,0.0,0.9989724600799718,2.0,0.4555580016532257,64
uniform_decoder,88,4,92,0.0,2.921049581804269,1.918539798595583,1.0025097832086862,0.010285926657958466,0.00952162104032972,0.0007643056176287466,1.9224507367407835,1.9185397985955832,0.003910938145200271,0.009912311641472549,0.009521621040329276,0.00039069060114327314,0.0,0.9985988450634858,2.0,0.40654104410151704,256
uniform_decoder,88,5,93,0.0,2.920606340387542,1.9215742856948763,0.9990320546926656,0.003477728516020573,0.003034487099293326,0.00044324141672724693,1.9223630328607155,1.9215742856948768,0.0007887471658387657,0.0031221909793615055,0.003034487099293548,8.770388006795748e-05,0.0,0.9982433075268264,2.0,0.4003578017853395,1024
uniform_decoder,88,6,94,0.0,2.9202417207602536,1.9221361900409917,0.9981055307192619,0.0009265239734037589,0.0005619043461153606,0.00036461962728839836,1.9223429241228187,1.9221361900409915,0.0002067340818272534,0.0005820130840115123,0.0005619043461146944,2.0108737896817885e-05,0.0,0.9978987966374351,2.0,0.3983275644415013,4096
uniform_decoder,88,7,95,0.0,2.919897305281253,1.922293724869537,0.9976035804117158,0.000501950307546073,0.00015753482854541367,0.0003444154790006593,1.9223383381977348,1.9222937248695364,4.461332819838404e-05,0.00016212075362886935,0.00015753482854496959,4.585925083899767e-06,0.0,0.9975589670835174,2.0,0.39852103432498276,16384
